name,date_utc,success,rocket,flight_number,year,success_flag,decade,launch_count,launch_share
OG-2 Mission 2,2015-12-22 01:29:00+00:00,True,5e9d0d95eda69973a809d1ec,25,2015,1,2010s,81,0.012345679012345678
Jason 3,2016-01-17 15:42:00+00:00,True,5e9d0d95eda69973a809d1ec,26,2016,1,2010s,81,0.012345679012345678
SES-9,2016-03-04 23:35:00+00:00,True,5e9d0d95eda69973a809d1ec,27,2016,1,2010s,81,0.012345679012345678
CRS-8,2016-04-08 20:43:00+00:00,True,5e9d0d95eda69973a809d1ec,28,2016,1,2010s,81,0.012345679012345678
JCSAT-2B,2016-05-06 05:21:00+00:00,True,5e9d0d95eda69973a809d1ec,29,2016,1,2010s,81,0.012345679012345678
Thaicom 8,2016-05-27 21:39:00+00:00,True,5e9d0d95eda69973a809d1ec,30,2016,1,2010s,81,0.012345679012345678
ABS-2A / Eutelsat 117W B,2016-06-15 14:29:00+00:00,True,5e9d0d95eda69973a809d1ec,31,2016,1,2010s,81,0.012345679012345678
CRS-9,2016-07-18 04:45:00+00:00,True,5e9d0d95eda69973a809d1ec,32,2016,1,2010s,81,0.012345679012345678
JCSAT-16,2016-08-14 05:26:00+00:00,True,5e9d0d95eda69973a809d1ec,33,2016,1,2010s,81,0.012345679012345678
Amos-6,2016-09-01 13:07:00+00:00,False,5e9d0d95eda69973a809d1ec,34,2016,0,2010s,81,0.012345679012345678
Iridium NEXT Mission 1,2017-01-14 17:54:00+00:00,True,5e9d0d95eda69973a809d1ec,35,2017,1,2010s,81,0.012345679012345678
CRS-10,2017-02-19 14:39:00+00:00,True,5e9d0d95eda69973a809d1ec,36,2017,1,2010s,81,0.012345679012345678
EchoStar 23,2017-03-16 06:00:00+00:00,True,5e9d0d95eda69973a809d1ec,37,2017,1,2010s,81,0.012345679012345678
SES-10,2017-03-30 22:27:00+00:00,True,5e9d0d95eda69973a809d1ec,38,2017,1,2010s,81,0.012345679012345678
NROL-76,2017-05-01 11:15:00+00:00,True,5e9d0d95eda69973a809d1ec,39,2017,1,2010s,81,0.012345679012345678
